,Unnamed: 0,city,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
0,0,port elizabeth,-33.92,25.57,48.2,light rain,0.48,0,76,89,10.29,ZA
1,1,faanui,-16.48,-151.75,79.66,light rain,0.4,0,77,0,5.7,PF
2,2,ugra,54.78,34.33,54.64,moderate rain,1.29,0,97,100,16.53,RU
3,3,jucuapa,13.52,-88.38,91.4,light rain,0.75,0,63,64,1.92,SV
4,4,port alfred,-33.59,26.89,51.31,light rain,0.29,0,73,76,15.17,ZA
5,5,nanortalik,60.14,-45.24,41.22,light rain,0.21,0,94,100,2.3,GL
6,6,busselton,-33.65,115.33,57.0,light rain,0.13,0,84,89,14.58,AU
7,7,flinders,-34.58,150.86,59.0,light rain,0.14,0,66,100,17.0,AU
8,8,giyon,8.53,37.98,56.52,light rain,0.36,0,88,65,1.41,ET
9,9,butaritari,3.07,172.79,77.86,light rain,0.16,0,81,100,4.9,KI
10,10,omsukchan,62.53,155.8,57.16,light rain,0.67,0,87,100,4.5,RU
11,11,nome,64.5,-165.41,52.0,light rain,0.25,0,87,90,9.17,US
12,12,yamada,39.47,141.95,62.15,light rain,0.24,0,90,100,10.92,JP
13,13,mopti,14.67,-4.0,82.4,light rain,0.25,0,78,100,11.41,ML
14,14,beruwala,6.48,79.98,80.02,moderate rain,2.18,0,86,100,8.72,LK
15,15,buala,-8.14,159.59,84.81,moderate rain,1.37,0,69,82,6.31,SB
16,16,vestmannaeyjar,63.44,-20.27,52.79,light rain,0.27,0,91,100,8.14,IS
17,17,muncar,-8.43,114.33,78.69,light rain,0.25,0,85,42,8.72,ID
18,18,maketu,-37.77,176.45,55.99,light rain,0.99,0,100,100,7.85,NZ
19,19,malkangiri,18.35,81.9,76.19,light rain,0.17,0,89,100,2.8,IN
20,20,kharp,66.8,65.81,51.75,light rain,0.79,0,91,100,3.58,RU
21,21,xucheng,20.35,110.13,86.0,light rain,0.95,0,74,29,4.47,CN
22,22,sinnamary,5.38,-52.95,78.44,light rain,0.19,0,83,26,7.43,GF
23,23,inhambane,-23.86,35.38,67.66,light rain,0.23,0,75,87,21.43,MZ
24,24,braganca,-1.05,-46.77,72.52,light rain,0.69,0,98,74,2.08,BR
25,25,malayal,7.21,121.94,81.5,light rain,0.46,0,76,97,0.45,PH
26,26,selizharovo,56.85,33.45,50.43,moderate rain,2.31,0,95,100,10.94,RU
27,27,bay-khaak,51.17,94.5,58.62,moderate rain,1.45,0,88,100,13.02,RU
28,28,vanavara,60.34,102.28,66.18,light rain,0.47,0,77,67,6.4,RU
29,29,tura,25.52,90.22,74.52,light rain,0.81,0,97,100,2.82,IN
30,30,novikovo,51.15,37.89,58.64,light rain,0.11,0,92,100,13.85,RU
31,31,puno,-15.83,-70.03,42.75,light rain,0.46,0,73,30,4.36,PE
32,32,sobolevo,54.43,31.9,52.16,moderate rain,2.39,0,94,100,19.73,RU
33,33,nadym,65.53,72.52,53.51,light rain,0.71,0,90,100,7.49,RU
34,34,ahipara,-35.17,173.17,60.24,heavy intensity rain,6.95,0,95,100,11.16,NZ
35,35,bonthe,7.53,-12.51,75.76,moderate rain,1.53,0,90,100,15.14,SL
36,36,verkhnyaya inta,65.98,60.31,54.82,light rain,0.14,0,91,100,4.83,RU
37,37,loa janan,-0.58,117.09,75.09,light rain,0.38,0,90,100,1.16,ID
38,38,yining,29.04,114.56,85.55,moderate rain,1.74,0,83,84,1.36,CN
39,39,ulaangom,49.98,92.07,60.76,light rain,0.47,0,77,100,9.55,MN
40,40,santa isabel do rio negro,-0.41,-65.02,73.89,light rain,0.14,0,91,0,1.1,BR
41,41,bonavista,48.65,-53.11,51.01,moderate rain,1.57,0,84,100,1.99,CA
42,42,palora,-1.7,-77.93,64.94,light rain,0.97,0,96,14,1.63,EC
43,43,dwarka,22.24,68.97,83.3,light rain,0.29,0,85,99,11.18,IN
44,44,matara,5.95,80.54,79.77,light rain,0.41,0,88,62,9.33,LK
45,45,shiyan,32.65,110.78,68.97,light rain,0.72,0,92,100,1.74,CN
46,46,guhagar,17.48,73.19,77.2,moderate rain,1.9,0,90,100,11.88,IN
47,47,porbandar,21.64,69.61,83.17,moderate rain,1.97,0,83,95,8.57,IN
48,48,puqi,29.72,113.88,79.11,light rain,0.64,0,91,96,4.61,CN
49,49,shenjiamen,29.96,122.3,72.28,light rain,0.65,0,92,98,15.32,CN
50,50,bubaque,11.28,-15.83,77.9,light rain,0.83,0,90,100,18.37,GW
51,51,jinxiang,22.86,115.7,87.71,light rain,0.5,0,70,33,8.97,CN
52,52,lorengau,-2.02,147.27,84.78,light rain,0.12,0,70,44,7.45,PG
53,53,katsina,12.99,7.6,77.14,moderate rain,1.73,0,74,81,13.04,NG
54,54,fare,-16.7,-151.02,79.81,moderate rain,1.27,0,75,0,5.08,PF
55,55,donghai,22.95,115.64,89.33,light rain,0.24,0,64,44,6.04,CN
56,56,ust-nera,64.57,143.2,66.9,light rain,0.11,0,49,31,8.1,RU
57,57,eirunepe,-6.66,-69.87,76.24,light rain,0.13,0,79,17,1.92,BR
58,58,pangoa,-12.12,-73.0,67.95,light rain,0.26,0,95,85,1.83,PE
59,59,gisborne,-38.65,178.0,51.01,light rain,0.48,0,85,100,5.99,NZ
60,60,kabo,7.7,18.63,68.47,light rain,0.35,0,93,100,1.3,CF
61,61,jieshi,22.81,115.83,86.27,light rain,0.71,0,76,45,12.12,CN
62,62,kavaratti,10.57,72.64,83.07,light rain,0.22,0,75,100,10.74,IN
63,63,abonnema,4.71,6.79,73.99,moderate rain,1.41,0,92,100,6.87,NG
64,64,bogande,12.97,-0.14,79.38,moderate rain,1.13,0,74,100,14.67,BF
65,65,hanover,52.37,9.73,60.01,light rain,0.25,0,100,75,2.24,DE
